nutrient,sex,age,year,Reg_Prov,x,y
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.42566122307453,0.03894975305356
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.46569410278298,0.04022502815777
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.50572698249143,0.041515943637155
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.54575986219988,0.042824243579202
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.58579274190832,0.044143571441931
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.62582562161677,0.045473651741233
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.66585850132522,0.046820022518589
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.70589138103367,0.048175711526538
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.74592426074212,0.04953988853798
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.78595714045057,0.050914776628045
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.82599002015902,0.052298795969069
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.86602289986746,0.05368896467387
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.90605577957591,0.055085369469469
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.94608865928436,0.056489492503305
Vitamin D,Male,1-3 years,2004,Canada excluding territories,1.98612153899281,0.057897394823431
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.02615441870126,0.059308778020219
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.06618729840971,0.060724164088357
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.10622017811816,0.062141517244224
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.1462530578266,0.063559993869289
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.18628593753505,0.064979209444926
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.2263188172435,0.066397820111297
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.26635169695195,0.067815243818716
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.3063845766604,0.06923119387591
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.34641745636885,0.070643227231633
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.3864503360773,0.07205166769218
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.42648321578574,0.073456413836396
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.46651609549419,0.0748553421861
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.50654897520264,0.07624716382792
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.54658185491109,0.077633171929069
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.58661473461954,0.079012652160521
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.62664761432799,0.080380578658442
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.66668049403644,0.081740691271041
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.70671337374488,0.083092749224248
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.74674625345333,0.084431860070313
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.78677913316178,0.085759344107109
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.82681201287023,0.087076929155424
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.86684489257868,0.088382178390146
Vitamin D,Male,1-3 years,2004,Canada excluding territories,2.90687777228713,0.089670761840802
